cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,"P3. ""Policies that involve a moderate reduction in CO₂ emissions (e.g., reducing emissions by 25% to 50% over the next 10 years).""","P4. ""Policies that involve a radical reduction in CO₂ emissions (e.g., reducing emissions by 50% to 100% over the next 10 years).""",P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
02b256af-92c9-494b-9ec7-86c52cef03fa,2025-03-25 14:47:29.182994+00:00,mistralai,open-mixtral-8x7b,0,3827,251,4,3,6,7,1,2,5
75fb416f-b1a7-4f39-8b11-c40b450c3484,2025-03-25 14:47:34.858590+00:00,mistralai,open-mixtral-8x7b,0,3827,257,5,7,2,1,3,4,6
d01dface-3d5d-4aa8-8bd0-69235459d645,2025-03-25 14:47:39.133362+00:00,mistralai,open-mixtral-8x7b,0,3827,239,5,7,2,1,3,6,4
936c3acd-518b-41e0-b73b-5c223cdfb2db,2025-03-25 14:47:43.165351+00:00,mistralai,open-mixtral-8x7b,0,3827,245,2,6,3,5,7,1,4
608580ae-423c-4b64-b70f-c24527bb9777,2025-03-25 14:47:47.480112+00:00,mistralai,open-mixtral-8x7b,0,3827,248,6,4,3,7,2,5,1
4ad02fb5-d675-418e-a7b6-753f7ca2231c,2025-03-25 14:47:52.672221+00:00,mistralai,open-mixtral-8x7b,0,3827,241,6,4,1,7,3,5,2
70f9ff53-a94b-4699-ac26-1db8d86258ee,2025-03-25 14:47:56.951482+00:00,mistralai,open-mixtral-8x7b,0,3827,250,4,2,1,6,5,3,7
00fbce69-ca9b-4765-9797-742893434427,2025-03-27 12:11:57.883011+00:00,mistralai,open-mixtral-8x7b,0,3827,239,5,7,2,4,6,1,3
b10f7bc9-df8a-4c05-9997-8d9c2020ea45,2025-03-27 12:12:01.642961+00:00,mistralai,open-mixtral-8x7b,0,3827,250,7,6,3,5,2,1,4
21d38794-c1eb-42d5-ae2b-d6aa8152ec86,2025-03-27 12:12:05.957683+00:00,mistralai,open-mixtral-8x7b,0,3827,250,7,6,1,2,4,3,5
157a1bcd-e474-4ec7-9d0a-f6bad99b3285,2025-03-27 12:12:09.912463+00:00,mistralai,open-mixtral-8x7b,0,3827,243,6,5,2,7,1,3,4
8be0bd2c-0d2d-4bf7-9bdb-94b73589166b,2025-03-27 12:12:16.486164+00:00,mistralai,open-mixtral-8x7b,0,3827,250,5,4,3,2,1,6,7
0ebd1e03-7ca1-4235-9ad4-1fd434c9c68e,2025-03-27 12:12:20.988935+00:00,mistralai,open-mixtral-8x7b,0,3827,243,6,7,2,1,5,3,4
59214727-164f-469a-9524-d18bfa191e21,2025-03-27 12:12:26.519823+00:00,mistralai,open-mixtral-8x7b,0,3827,247,7,3,1,2,4,5,6
6b8240ed-06e8-4f05-952a-a0b171cf43ea,2025-03-27 12:12:31.651980+00:00,mistralai,open-mixtral-8x7b,0,3827,245,7,6,3,1,5,2,4
a2787307-e67b-452a-a394-245c17c30222,2025-03-27 12:12:38.408748+00:00,mistralai,open-mixtral-8x7b,0,3827,250,5,7,6,3,4,1,2
9bd1a655-040e-4b4d-8d8a-6614a39c0735,2025-03-27 12:12:43.327522+00:00,mistralai,open-mixtral-8x7b,0,3827,247,6,7,2,5,3,1,4
5e9bb9cc-31fb-4d17-a6fd-fedae6459049,2025-03-27 12:12:52.423976+00:00,mistralai,open-mixtral-8x7b,0,3827,253,4,2,1,6,3,7,5
9629e8f8-00f8-4043-819f-160ca6492fc0,2025-03-27 12:12:59.502038+00:00,mistralai,open-mixtral-8x7b,0,3827,244,4,7,3,1,5,2,6
1c8fe6d2-f67b-4802-b8db-3899139dd2fa,2025-03-27 12:13:05.218304+00:00,mistralai,open-mixtral-8x7b,0,3827,244,5,7,6,3,4,2,1
a4929bfd-95b4-4340-936b-88f3143bd65f,2025-03-27 12:13:09.114941+00:00,mistralai,open-mixtral-8x7b,0,3827,245,6,2,3,7,4,5,1
ec6bf040-6974-4ff3-995c-73f2b32a548a,2025-03-27 12:13:12.905672+00:00,mistralai,open-mixtral-8x7b,0,3827,271,6,7,2,1,5,3,4
d29a3ea9-8d4c-4dea-8e0e-cd5e958da002,2025-03-27 12:13:17.285064+00:00,mistralai,open-mixtral-8x7b,0,3827,251,5,7,2,4,1,3,6
96eaec34-4bb0-4b3a-8a5f-b4a3ef9cbd64,2025-03-27 12:13:21.688201+00:00,mistralai,open-mixtral-8x7b,0,3827,248,4,7,2,1,3,5,6
f475e28f-18f7-4516-9e16-28be025b4e86,2025-03-27 12:13:27.747616+00:00,mistralai,open-mixtral-8x7b,0,3827,250,2,1,5,7,4,3,6
ccf06ec9-5b22-4b1c-9d97-9e3ab5487bb1,2025-03-27 12:13:31.684637+00:00,mistralai,open-mixtral-8x7b,0,3827,246,3,1,5,6,4,7,2
618e0123-9d24-4a2b-ba40-5c766b5617ea,2025-03-27 12:13:35.641529+00:00,mistralai,open-mixtral-8x7b,0,3827,246,4,6,7,3,1,2,5
