cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. There are too many mental health services in Switzerland, and they should be reduced.","P2. There are enough mental health services in Switzerland, and funding should remain as it is.",P3. Initiatives focused on improving the socioeconomic conditions of disadvantaged people should be implemented to address mental health disparities.,P4. Private mental health clinics should receive more government funding to allow more people to access them.,P5. There should be more public awareness campaigns that empower people to seek mental health support and destigmatize help-seeking behaviors.,"P6. There should be more integrated mental health clinics that provide a range of services, such as sports or artistic activities in addition to therapy and medication","P7. There are not enough mental health services in Switzerland, so their funding should be increased."
e149dab9-7d7c-44cc-b2a6-cbb715cd8beb,2025-03-27 09:35:56.467571+00:00,google,gemini-1.5-flash-8b,0,2799,162,4,6,3,5,7,1,2
9be96548-e6fc-403a-bcc9-c3700bad20b7,2025-03-27 09:36:01.403320+00:00,google,gemini-1.5-flash-8b,0,2799,162,3,5,1,4,2,6,7
59ec8b30-27da-4d08-b3c0-b55817c33565,2025-03-27 09:36:04.336934+00:00,google,gemini-1.5-flash-8b,0,2799,164,7,4,5,2,3,6,1
0a4880ca-db78-426e-bcc8-5026881c6c95,2025-03-27 09:36:07.292111+00:00,google,gemini-1.5-flash-8b,0,2799,162,6,2,3,4,7,1,5
8d1e6649-8177-467e-810c-1ca7505356ff,2025-03-27 09:36:10.211600+00:00,google,gemini-1.5-flash-8b,0,2799,158,4,2,5,6,1,3,7
bf38905a-f308-4597-86be-22fc8cd12872,2025-03-27 09:36:14.962973+00:00,google,gemini-1.5-flash-8b,0,2799,158,2,3,4,6,1,5,7
8029433f-5af1-472d-89d1-73eeec24f16b,2025-03-27 09:36:19.958699+00:00,google,gemini-1.5-flash-8b,0,2799,158,7,5,3,6,1,4,2
17b4271f-8378-4e5d-af06-6d807cdda3d9,2025-03-27 09:36:22.784225+00:00,google,gemini-1.5-flash-8b,0,2799,160,7,6,1,5,4,3,2
2d05e730-cfc7-4cde-a9ad-0e26b6e9d3c8,2025-03-27 09:36:25.827433+00:00,google,gemini-1.5-flash-8b,0,2799,162,7,6,1,5,4,3,2
9da8e902-7f81-4e0b-b6c3-0b45bf55a650,2025-03-27 09:36:28.694256+00:00,google,gemini-1.5-flash-8b,0,2799,158,6,2,1,5,4,3,7
b25dc139-7f15-490a-bed0-d0f972b8915c,2025-03-27 09:36:31.493028+00:00,google,gemini-1.5-flash-8b,0,2799,164,2,5,3,4,7,6,1
5a0ebe8b-1924-45b8-9780-35811c74ed02,2025-03-27 09:36:34.428532+00:00,google,gemini-1.5-flash-8b,0,2799,159,7,4,6,3,1,2,5
93cf52fc-2845-4509-80b3-23f881808577,2025-03-27 09:36:37.282637+00:00,google,gemini-1.5-flash-8b,0,2799,162,5,4,3,2,7,1,6
93ec9903-4fd1-4349-a6c4-254fd656e339,2025-03-27 09:36:40.081933+00:00,google,gemini-1.5-flash-8b,0,2799,158,7,5,6,2,1,3,4
e8d31075-5638-4d74-9366-6c83a78ac944,2025-03-27 10:10:39.661440+00:00,google,gemini-1.5-flash-8b,0,2799,160,7,3,5,1,4,2,6
10a7a225-ae33-4441-83d6-8811f4b17d9c,2025-03-27 10:10:42.416462+00:00,google,gemini-1.5-flash-8b,0,2799,163,7,4,1,6,3,2,5
34674b76-5e84-44c3-b58f-ce108054fa61,2025-03-27 10:10:45.370139+00:00,google,gemini-1.5-flash-8b,0,2799,165,5,7,1,4,6,3,2
fe45b37a-f5b8-4edc-80e9-e8481d44328f,2025-03-27 10:10:48.195728+00:00,google,gemini-1.5-flash-8b,0,2799,157,4,6,3,5,1,7,2
e5f5c061-1454-4a91-ba06-1275d97cf89f,2025-04-28 08:51:11.707204+00:00,google,gemini-1.5-flash-8b,1.0,2799,163,6,7,1,5,3,4,2
5feee352-1b95-4aa8-a664-2ab6483e890f,2025-04-28 08:51:14.774861+00:00,google,gemini-1.5-flash-8b,1.0,2799,162,2,4,7,3,1,5,6
f73f526b-8166-44d6-bc4e-91eb65a3b6b3,2025-04-28 08:51:17.946690+00:00,google,gemini-1.5-flash-8b,1.0,2799,162,7,5,1,6,4,3,2
7375c7cf-d3b8-4479-96e0-32eaed4bf50c,2025-04-28 08:51:21.228860+00:00,google,gemini-1.5-flash-8b,1.0,2799,166,2,7,1,6,4,3,5
2c05188c-cdcf-40f7-9dcf-b76070c6f730,2025-04-28 08:51:24.397373+00:00,google,gemini-1.5-flash-8b,1.0,2799,164,2,7,4,5,6,3,1
f1605ed6-d1c5-4a62-b793-41c3edf02411,2025-04-28 08:51:27.574584+00:00,google,gemini-1.5-flash-8b,1.0,2799,165,6,7,1,3,5,4,2
a26e33b0-227e-45c9-b071-0a49f5c6a416,2025-04-28 08:51:30.579737+00:00,google,gemini-1.5-flash-8b,1.0,2799,159,4,7,6,2,3,1,5
a2b2a138-60bc-4519-a145-b7e76f9250f5,2025-04-28 08:51:33.818819+00:00,google,gemini-1.5-flash-8b,1.0,2799,163,6,7,5,2,1,3,4
c34db793-cd83-48b4-8155-86a769aeafa5,2025-04-28 08:51:36.876927+00:00,google,gemini-1.5-flash-8b,1.0,2799,162,5,3,4,6,1,2,7
b6a353b5-adef-4224-9f5f-dd1e7564f4db,2025-04-28 08:51:39.751999+00:00,google,gemini-1.5-flash-8b,1.0,2799,162,7,6,1,3,4,2,5
14e8364c-d17d-430e-a815-38e3d37a711a,2025-04-28 08:51:42.846927+00:00,google,gemini-1.5-flash-8b,1.0,2799,160,7,6,1,4,3,5,2
00ffc8c3-c345-4a4d-a00b-78a97e2f3128,2025-04-28 08:51:47.793268+00:00,google,gemini-1.5-flash-8b,1.0,2799,164,6,7,1,5,4,3,2
e99a60b8-2d72-431f-9b3c-0ae7b430976a,2025-04-28 08:51:50.619876+00:00,google,gemini-1.5-flash-8b,1.0,2799,158,7,6,2,4,3,1,5
f0f68752-c5b1-4832-bb25-ccd65718cffe,2025-04-28 08:51:53.491139+00:00,google,gemini-1.5-flash-8b,1.0,2799,158,7,6,3,4,1,2,5
d5975eda-45cb-414d-848f-e6394554624b,2025-04-28 08:51:56.462720+00:00,google,gemini-1.5-flash-8b,1.0,2799,164,4,7,3,2,5,6,1
171f8579-b210-4846-b0f5-c1bb7518f855,2025-04-28 08:51:59.387324+00:00,google,gemini-1.5-flash-8b,1.0,2799,159,6,7,2,3,1,5,4
4376defb-8fc0-4203-9574-95fb34f5d6f3,2025-04-28 08:52:02.368682+00:00,google,gemini-1.5-flash-8b,1.0,2799,158,3,5,1,6,7,2,4
25cf9829-f5ed-4c39-8602-756d3c0426ef,2025-04-28 08:52:05.331578+00:00,google,gemini-1.5-flash-8b,1.0,2799,157,6,7,1,4,5,3,2
c2e7ad79-ee52-41f6-a182-8f98c475941e,2025-04-28 08:52:08.347938+00:00,google,gemini-1.5-flash-8b,1.0,2799,160,7,6,2,4,5,1,3
8e1eea60-fe11-4f96-9918-a1266b02534b,2025-04-28 08:52:11.351067+00:00,google,gemini-1.5-flash-8b,1.0,2799,159,7,2,1,3,5,6,4
19b4bfaf-4352-4185-b323-34e15fba993c,2025-04-28 08:52:16.214911+00:00,google,gemini-1.5-flash-8b,1.0,2799,161,4,2,7,1,6,5,3
c5c4cbe8-e2a6-4f56-9ca8-ec1cab4488aa,2025-04-28 08:52:19.184189+00:00,google,gemini-1.5-flash-8b,1.0,2799,161,2,7,4,1,5,6,3
32b841fb-4b2e-4c23-a3a9-327419d61a98,2025-04-28 08:52:22.265672+00:00,google,gemini-1.5-flash-8b,1.0,2799,184,1,2,5,4,3,6,7
6807a0d5-47c3-4379-a29e-c67a9b30b6a4,2025-04-28 08:52:25.285536+00:00,google,gemini-1.5-flash-8b,1.0,2799,162,2,7,5,3,6,1,4
53948a96-8f66-46ad-9e8e-9d952c2dda43,2025-04-28 08:52:28.137678+00:00,google,gemini-1.5-flash-8b,1.0,2799,168,2,1,5,4,6,3,7
8a39e336-b23f-415b-9368-3bfacbc5b4bf,2025-04-28 08:52:32.994764+00:00,google,gemini-1.5-flash-8b,1.0,2799,160,5,7,2,4,3,6,1
aa245163-1089-4f0a-a5c5-48f6b6366a1b,2025-04-28 08:52:35.914491+00:00,google,gemini-1.5-flash-8b,1.0,2799,166,6,7,4,2,3,1,5
3b843503-54b4-4166-b9ef-83301d214ee5,2025-04-28 08:52:38.913811+00:00,google,gemini-1.5-flash-8b,1.0,2799,162,7,6,1,5,2,3,4
c5624894-8466-494f-ab4f-0fc85bcd2b48,2025-04-28 08:52:41.954883+00:00,google,gemini-1.5-flash-8b,1.0,2799,162,7,2,6,4,3,1,5
9aadded4-c798-499c-9817-596003e41915,2025-04-28 09:32:28.716609+00:00,google,gemini-1.5-flash-8b,1.0,2799,166,7,5,4,3,6,1,2
