cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. The kind of government that we have, with no major changes","P2. Government with guaranteed involvement by all social groups, especially those representing disadvantaged minorities, in policy making","P3. A government with constitutional rules specifying its main task is to ensure that economic markets work well, and that government intervenes as little in society beyond that",P4. Government with strong leaders and legislation that ensures that proper moral principles are observed in society.,"P5. Government that abolishes all policies that give special benefits to minority groups, and instead ensures equal influence for all Australians"
92cff164-6e23-4e5c-b73a-a387c8d6eb8a,2025-03-25 10:26:25.129496+00:00,google,gemini-1.5-flash-8b,0,5243,321,2,5,1,4,3
9d04dbcb-9aef-4845-801a-8f06abb4192a,2025-03-25 15:38:01.040351+00:00,google,gemini-1.5-flash-8b,0,5245,328,5,1,3,2,4
6d847d4e-55f2-4988-a863-c45631ec47dc,2025-03-25 15:38:05.018624+00:00,google,gemini-1.5-flash-8b,0,5237,319,5,3,1,4,2
ec512739-0f22-4d60-8ff1-329658bfc8a8,2025-03-25 15:38:14.515998+00:00,google,gemini-1.5-flash-8b,0,5239,323,1,2,4,3,5
afddcacd-edbc-4813-bbd5-50d318151a0d,2025-03-25 15:38:18.471208+00:00,google,gemini-1.5-flash-8b,0,5239,318,2,3,1,4,5
9b52da58-1dc1-4f7d-bdff-4c4a114a6a4c,2025-03-25 15:38:22.118756+00:00,google,gemini-1.5-flash-8b,0,5245,325,5,4,1,3,2
e2b3f22e-c3df-4012-a650-33399de4997d,2025-03-25 15:38:25.772879+00:00,google,gemini-1.5-flash-8b,0,5243,336,1,4,3,2,5
890a321f-44cd-4638-9f98-2617a87666b2,2025-03-25 15:38:37.558706+00:00,google,gemini-1.5-flash-8b,0,5241,321,5,2,1,4,3
cd5abafe-0b52-436f-82b2-93aae37c42ce,2025-03-25 15:39:00.251397+00:00,google,gemini-1.5-flash-8b,0,5247,327,1,3,4,2,5
e49f7f0d-17d0-497e-b5be-441c49496c1a,2025-03-25 15:39:04.040659+00:00,google,gemini-1.5-flash-8b,0,5237,330,5,3,1,2,4
8e7bc859-7964-4374-b074-b4c1ea90250d,2025-03-25 15:39:07.932078+00:00,google,gemini-1.5-flash-8b,0,5237,316,5,1,4,3,2
92bdd227-5231-42dd-9507-a3d3466e97b6,2025-03-27 09:26:39.494716+00:00,google,gemini-1.5-flash-8b,0,5239,325,5,1,3,2,4
48f0ccc8-346e-4021-823f-af6994243ab8,2025-03-27 09:26:43.123786+00:00,google,gemini-1.5-flash-8b,0,5241,323,5,1,3,4,2
7ffca7a1-5541-4fda-8ff4-badf1963645b,2025-03-27 09:26:46.673574+00:00,google,gemini-1.5-flash-8b,0,5237,333,1,4,3,5,2
0dc106f5-9568-4303-9ab4-b5429e792b47,2025-03-27 09:26:50.213807+00:00,google,gemini-1.5-flash-8b,0,5239,325,5,1,3,2,4
fcd489e3-9615-4340-a741-39ed957f8656,2025-03-27 09:26:53.805077+00:00,google,gemini-1.5-flash-8b,0,5237,325,3,4,1,5,2
373d948e-4282-4667-9eca-7d3bfba0632a,2025-03-27 09:26:57.576286+00:00,google,gemini-1.5-flash-8b,0,5245,322,5,3,1,4,2
e5d8474e-a009-4d08-b71b-f3bc0d9a83a0,2025-03-27 09:27:01.054846+00:00,google,gemini-1.5-flash-8b,0,5239,325,5,1,4,2,3
9cc41342-0d42-4f3f-954e-24955978f4d6,2025-03-27 09:27:04.731819+00:00,google,gemini-1.5-flash-8b,0,5237,322,5,1,3,4,2
fb40febb-a43a-4423-a661-397aedd15987,2025-03-27 09:27:08.409721+00:00,google,gemini-1.5-flash-8b,0,5241,324,2,1,4,5,3
9952d379-c3dc-41f1-84a6-2f5f8f231f63,2025-03-27 09:27:11.980559+00:00,google,gemini-1.5-flash-8b,0,5243,329,1,4,3,2,5
2f0a09e6-35da-4459-82f9-f14311c1e058,2025-03-27 09:27:15.545443+00:00,google,gemini-1.5-flash-8b,0,5251,331,5,2,1,3,4
2cd9b517-fbc8-4d3d-bf99-af8e3dc534f8,2025-03-27 09:27:19.105189+00:00,google,gemini-1.5-flash-8b,0,5249,324,2,1,4,3,5
59707a06-c763-4cf2-9ad7-6e2a3e7bd2fc,2025-03-27 09:27:22.837375+00:00,google,gemini-1.5-flash-8b,0,5241,322,3,4,1,5,2
ccb01db2-2de2-4f42-9cd3-938bef23ddb5,2025-03-27 09:27:26.698919+00:00,google,gemini-1.5-flash-8b,0,5245,326,5,4,1,3,2
4c78e4ce-4bdb-447e-bfa2-6921944b4eaf,2025-03-27 09:27:30.285050+00:00,google,gemini-1.5-flash-8b,0,5249,326,5,2,1,4,3
6f7e3e09-8136-4a55-89e8-9bf9f75d9640,2025-03-27 09:27:33.916567+00:00,google,gemini-1.5-flash-8b,0,5245,328,4,1,3,5,2
9bef1d7a-a593-4c0f-bca1-bb871dd44691,2025-03-27 09:27:37.603957+00:00,google,gemini-1.5-flash-8b,0,5237,317,5,1,3,2,4
b8df069a-ea08-4a91-a474-f74fc8d63ca6,2025-03-27 10:07:51.598064+00:00,google,gemini-1.5-flash-8b,0,5243,318,4,1,3,2,5
9b51c4ef-70bc-403d-a7c9-58931e1a5999,2025-03-27 10:07:55.078860+00:00,google,gemini-1.5-flash-8b,0,5245,319,5,1,2,3,4
9db2bc81-d8d0-42b6-97a9-5618f94f4e01,2025-03-27 10:07:58.537386+00:00,google,gemini-1.5-flash-8b,0,5245,324,2,4,1,5,3
81c7895b-2a4e-4c7e-a985-c5af03d9a073,2025-03-27 10:08:02.256529+00:00,google,gemini-1.5-flash-8b,0,5241,326,5,4,1,2,3
6378c03b-4ceb-42df-a27d-a980f48cec96,2025-03-27 10:08:05.948748+00:00,google,gemini-1.5-flash-8b,0,5243,320,2,5,1,4,3
a68e7631-d5e5-4e29-8041-1038c44f2388,2025-04-28 08:32:52.557402+00:00,google,gemini-1.5-flash-8b,1.0,5245,328,4,1,3,2,5
a98f042d-88b3-499e-84dd-d282dc09140c,2025-04-28 08:32:56.331764+00:00,google,gemini-1.5-flash-8b,1.0,5253,326,5,3,1,4,2
558271b4-f870-4516-8a1b-106bec21cc7d,2025-04-28 08:33:00.223196+00:00,google,gemini-1.5-flash-8b,1.0,5237,324,5,1,3,2,4
cfdc286d-a80b-45b6-a635-ab3aa2e7c407,2025-04-28 08:33:04.104806+00:00,google,gemini-1.5-flash-8b,1.0,5245,328,5,2,1,4,3
b46d4da8-2288-443a-b682-8a638fd9ba0e,2025-04-28 08:33:08.105624+00:00,google,gemini-1.5-flash-8b,1.0,5239,329,3,1,2,4,5
c0827d94-9af2-4da7-b416-aa9f4f255a38,2025-04-28 08:33:12.195472+00:00,google,gemini-1.5-flash-8b,1.0,5237,326,5,3,1,2,4
99e6dd70-3acb-44d3-a748-aba2a689dcd5,2025-04-28 08:33:15.862623+00:00,google,gemini-1.5-flash-8b,1.0,5245,328,5,1,4,3,2
28c4e1c8-d283-481c-a9fe-2e2dae4ee25a,2025-04-28 08:33:19.645622+00:00,google,gemini-1.5-flash-8b,1.0,5241,324,5,3,1,2,4
fc8248fb-351f-42ff-a290-a353e9f94d45,2025-04-28 08:33:23.365255+00:00,google,gemini-1.5-flash-8b,1.0,5237,324,2,3,1,4,5
582c44f5-913c-431a-b5e4-c554a9ffe10c,2025-04-28 08:33:27.251556+00:00,google,gemini-1.5-flash-8b,1.0,5253,329,5,3,1,4,2
238256a3-be3c-4a9d-86a4-44d8788fbe04,2025-04-28 08:33:31.051424+00:00,google,gemini-1.5-flash-8b,1.0,5239,319,3,4,1,5,2
33eefdfa-328d-4909-88a1-6a7193da58f8,2025-04-28 08:33:34.769126+00:00,google,gemini-1.5-flash-8b,1.0,5253,329,5,1,3,2,4
b6af540c-2a55-40aa-8ee2-3086ded5ac92,2025-04-28 08:33:38.642544+00:00,google,gemini-1.5-flash-8b,1.0,5237,323,2,3,1,4,5
0cc72b75-ab9c-4500-bf4f-514c1cab0eae,2025-04-28 08:33:42.546302+00:00,google,gemini-1.5-flash-8b,1.0,5247,326,4,3,1,2,5
08a841bb-543a-41ab-91b2-a7812ad49487,2025-04-28 08:33:46.093275+00:00,google,gemini-1.5-flash-8b,1.0,5235,320,5,4,1,2,3
2df633c5-82b4-4f16-bda6-67ee47218d5a,2025-04-28 08:33:49.843724+00:00,google,gemini-1.5-flash-8b,1.0,5241,323,2,3,1,4,5
09d417c9-0437-45c2-9505-d7b00af51f72,2025-04-28 08:33:53.516735+00:00,google,gemini-1.5-flash-8b,1.0,5245,322,1,2,4,3,5
01ec86f5-021f-4732-b3fa-8f599b69e38c,2025-04-28 08:33:57.390367+00:00,google,gemini-1.5-flash-8b,1.0,5239,326,1,4,2,3,5
843e7b0f-01e3-4bc0-a81f-5b53d457d75a,2025-04-28 08:34:01.072489+00:00,google,gemini-1.5-flash-8b,1.0,5243,322,2,3,5,4,1
f720e2fe-e40e-4202-b9dd-63e4e083c6c4,2025-04-28 08:34:04.636701+00:00,google,gemini-1.5-flash-8b,1.0,5241,323,4,1,3,2,5
d57d7e37-2f88-4e4f-959b-77f8ef2e3bb7,2025-04-28 08:34:08.331663+00:00,google,gemini-1.5-flash-8b,1.0,5247,327,4,1,3,5,2
4198c726-32ce-44a2-9c27-34ef902cd246,2025-04-28 08:34:12.224455+00:00,google,gemini-1.5-flash-8b,1.0,5251,335,5,3,1,4,2
6ae6fc92-cebf-4b38-b031-61216e068101,2025-04-28 08:34:15.998302+00:00,google,gemini-1.5-flash-8b,1.0,5243,332,4,2,1,5,3
03efa07d-8aba-47b8-ad6b-ef60963fceeb,2025-04-28 08:34:19.848751+00:00,google,gemini-1.5-flash-8b,1.0,5237,317,2,4,1,3,5
d108bf7c-30c1-44e5-a823-2b4c1cb546e3,2025-04-28 08:34:23.789860+00:00,google,gemini-1.5-flash-8b,1.0,5249,334,5,1,4,2,3
4c25fb5d-f3bd-458e-80ba-7a38d59668c6,2025-04-28 08:34:27.565524+00:00,google,gemini-1.5-flash-8b,1.0,5239,317,5,4,3,2,1
faf80fa0-488a-43f6-9a53-e4302fc848ff,2025-04-28 08:34:31.280296+00:00,google,gemini-1.5-flash-8b,1.0,5241,319,5,1,4,3,2
1c65ad48-cab0-4d13-84f2-7d234d024acb,2025-04-28 08:34:35.150943+00:00,google,gemini-1.5-flash-8b,1.0,5241,320,1,2,3,4,5
b259e28b-73da-4fb7-a6fb-49ad86260ed6,2025-04-28 08:34:39.026646+00:00,google,gemini-1.5-flash-8b,1.0,5241,333,2,4,3,1,5
22100f95-c69f-4940-901e-8075c49f265f,2025-04-28 08:34:43.044727+00:00,google,gemini-1.5-flash-8b,1.0,5237,326,5,4,3,2,1
e28f6b5d-dec9-43cd-a718-1bafd1107d79,2025-04-28 08:34:46.722485+00:00,google,gemini-1.5-flash-8b,1.0,5241,334,5,1,3,2,4
3f313f01-2d8c-41a8-b06b-5df0b2238fb7,2025-04-28 08:34:50.542606+00:00,google,gemini-1.5-flash-8b,1.0,5245,330,3,1,4,2,5
